trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,44.532814484,1e-05,1736024533.713826,,,,,,,,
49,1,44.641619739,,1736024533.8227513,0.0,0.81251460313797,,,,,,
99,2,50.752567604,1e-05,1736024539.9336057,,,,,,,,
99,3,50.865405447,,1736024540.046558,0.0,1.0449434518814087,,,,,,
149,4,56.913386332,1e-05,1736024546.093635,,,,,,,,
149,5,57.037707454,,1736024546.21853,0.0,0.9687014222145081,,,,,,
199,6,63.12532512,1e-05,1736024552.3064656,,,,,,,,
199,7,63.234151335,,1736024552.4153254,0.0,0.895300567150116,,,,,,
249,8,69.355619705,1e-05,1736024558.5367606,,,,,,,,
249,9,69.466636379,,1736024558.6466405,0.0,0.7959201335906982,,,,,,
299,10,75.570765876,1e-05,1736024564.751928,,,,,,,,
299,11,75.680004223,,1736024564.861127,0.0,0.763588547706604,,,,,,
349,12,81.774666879,1e-05,1736024570.9557073,,,,,,,,
349,13,81.88535538,,1736024571.0664346,0.0,0.7211219072341919,,,,,,
399,14,87.970872838,1e-05,1736024577.1520057,,,,,,,,
399,15,88.079406235,,1736024577.2605157,0.0,1.0879292488098145,,,,,,
449,16,94.255418319,1e-05,1736024583.4365776,,,,,,,,
449,17,94.364379307,,1736024583.5455632,0.0,1.0368455648422241,,,,,,
499,18,100.423446118,1e-05,1736024589.603725,,,,,,,,
499,19,100.559537052,,1736024589.7388406,0.0,1.0579822063446045,,,,,,
531,20,110.042926375,,1736024599.2240548,0.0,,0.717989444732666,0.9092971086502075,,,,
531,21,132.818356874,,1736024621.9628465,0.0,,,,0.6764256358146667,1.0515211820602417,,
532,22,141.838310778,,1736024631.0192294,1.0,,,,,,0.7153438925743103,0.9070714116096497
