trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,33.89768416,1e-05,1735814302.6152375,,,,,,,,
49,1,34.005316657,,1735814302.7230632,0.0,0.7423842549324036,,,,,,
99,2,39.665272149,1e-05,1735814308.3829386,,,,,,,,
99,3,39.773456771,,1735814308.4912565,0.0,0.6482018232345581,,,,,,
149,4,45.442619671,1e-05,1735814314.16031,,,,,,,,
149,5,45.551237214,,1735814314.268922,0.0,0.6677148342132568,,,,,,
194,6,53.492447319,,1735814322.2100964,0.0,,0.6083815097808838,0.6573078632354736,,,,
194,7,72.010726648,,1735814340.6994755,0.0,,,,0.6164097785949707,0.656268835067749,,
199,8,74.376111252,1e-05,1735814343.0935698,,,,,,,,
199,9,74.485870699,,1735814343.2035606,1.0,0.6213315725326538,,,,,,
249,10,80.166590152,1e-05,1735814348.88424,,,,,,,,
249,11,80.27503115,,1735814348.992727,1.0,0.6329817771911621,,,,,,
299,12,85.961554501,1e-05,1735814354.6792135,,,,,,,,
299,13,86.069898869,,1735814354.7875931,1.0,0.6473071575164795,,,,,,
349,14,91.743716078,1e-05,1735814360.4614055,,,,,,,,
349,15,91.852317077,,1735814360.5700078,1.0,0.6328950524330139,,,,,,
389,16,99.096552636,,1735814367.8141277,1.0,,0.6286126971244812,0.6562453508377075,,,,
389,17,117.01365332,,1735814385.7313147,1.0,,,,0.6194605231285095,0.6538420915603638,,
399,18,119.950566117,1e-05,1735814388.66816,,,,,,,,
399,19,120.058404681,,1735814388.7761416,2.0,0.6098829507827759,,,,,,
449,20,125.749893253,1e-05,1735814394.467587,,,,,,,,
449,21,125.858907551,,1735814394.5765347,2.0,0.6901540756225586,,,,,,
499,22,131.561148979,1e-05,1735814400.2787714,,,,,,,,
499,23,131.669051174,,1735814400.3867323,2.0,0.6324847340583801,,,,,,
549,24,137.364189823,1e-05,1735814406.0818377,,,,,,,,
549,25,137.472963162,,1735814406.1906657,2.0,0.5825575590133667,,,,,,
584,26,144.14853897,,1735814412.8661478,2.0,,0.6228323578834534,0.6549562811851501,,,,
584,27,162.232370843,,1735814430.9500737,2.0,,,,0.6308606266975403,0.6465664505958557,,
599,28,165.686997534,1e-05,1735814434.4045591,,,,,,,,
599,29,165.794985434,,1735814434.5126936,3.0,0.6232016086578369,,,,,,
649,30,171.480703608,1e-05,1735814440.198383,,,,,,,,
649,31,171.588742535,,1735814440.306475,3.0,0.6861164569854736,,,,,,
699,32,177.269689606,1e-05,1735814445.9873626,,,,,,,,
699,33,177.378290937,,1735814446.0960422,3.0,0.6522560119628906,,,,,,
749,34,183.063718118,1e-05,1735814451.7813978,,,,,,,,
749,35,183.171886538,,1735814451.889624,3.0,0.621483325958252,,,,,,
779,36,189.260811877,,1735814457.9784734,3.0,,0.6286126971244812,0.6493702530860901,,,,
779,37,207.668309048,,1735814476.3860097,3.0,,,,0.6382466554641724,0.6424049139022827,,
799,38,211.831565569,1e-05,1735814480.5491288,,,,,,,,
799,39,211.940357852,,1735814480.6580184,4.0,0.5955431461334229,,,,,,
849,40,217.629287373,1e-05,1735814486.3469465,,,,,,,,
849,41,217.738216603,,1735814486.4558938,4.0,0.6141321063041687,,,,,,
899,42,223.421071836,1e-05,1735814492.1387477,,,,,,,,
899,43,223.52953853,,1735814492.2472372,4.0,0.6168875098228455,,,,,,
949,44,229.220552764,1e-05,1735814497.938206,,,,,,,,
949,45,229.328946121,,1735814498.0464518,4.0,0.5869239568710327,,,,,,
974,46,234.818635885,,1735814503.5362544,4.0,,0.6358381509780884,0.6492307782173157,,,,
974,47,252.156672263,,1735814520.8743951,4.0,,,,0.6432241201400757,0.6369210481643677,,
999,48,256.789010991,1e-05,1735814525.5066376,,,,,,,,
999,49,256.897074223,,1735814525.6147943,5.0,0.5681201219558716,,,,,,
1049,50,262.58735724,1e-05,1735814531.305011,,,,,,,,
1049,51,262.695699715,,1735814531.4134753,5.0,0.5921951532363892,,,,,,
1099,52,268.394383303,1e-05,1735814537.1120083,,,,,,,,
1099,53,268.503055637,,1735814537.220722,5.0,0.6308202743530273,,,,,,
1149,54,274.193006874,1e-05,1735814542.9107225,,,,,,,,
1149,55,274.301312551,,1735814543.01905,5.0,0.5945917963981628,,,,,,
1169,56,279.297509003,,1735814548.015118,5.0,,0.6416184902191162,0.6374207735061646,,,,
1169,57,297.966761661,,1735814566.6844041,5.0,,,,0.654945433139801,0.6299311518669128,,
1199,58,303.199300229,1e-05,1735814571.9168828,,,,,,,,
1199,59,303.30822522,,1735814572.0259113,6.0,0.6280485987663269,,,,,,
1249,60,309.005753208,1e-05,1735814577.7234406,,,,,,,,
1249,61,309.114274824,,1735814577.8319554,6.0,0.6882006525993347,,,,,,
1299,62,314.815107523,1e-05,1735814583.5327578,,,,,,,,
1299,63,314.923409056,,1735814583.6411088,6.0,0.533830463886261,,,,,,
1349,64,320.614164881,1e-05,1735814589.331815,,,,,,,,
1349,65,320.723319714,,1735814589.4410038,6.0,0.7280086278915405,,,,,,
1364,66,325.09159873,,1735814593.8091786,6.0,,0.647398829460144,0.6359531879425049,,,,
1364,67,342.520569756,,1735814611.2382295,6.0,,,,0.6634553670883179,0.6240999698638916,,
1399,68,348.342121616,1e-05,1735814617.0597324,,,,,,,,
1399,69,348.450730488,,1735814617.1684332,7.0,0.5788463950157166,,,,,,
1449,70,354.148106442,1e-05,1735814622.8657947,,,,,,,,
1449,71,354.256503428,,1735814622.9742527,7.0,0.7006208896636963,,,,,,
1499,72,359.960047556,1e-05,1735814628.6777425,,,,,,,,
1499,73,360.0689342,,1735814628.7865996,7.0,0.6724444031715393,,,,,,
1549,74,365.750316255,1e-05,1735814634.4677389,,,,,,,,
1549,75,365.858245325,,1735814634.5760276,7.0,0.6030969023704529,,,,,,
1559,76,369.6629731,,1735814638.3806133,7.0,,0.6546242833137512,0.6264122128486633,,,,
1559,77,388.279688605,,1735814656.9973705,7.0,,,,0.6652215719223022,0.6181003451347351,,
1599,78,394.724256852,1e-05,1735814663.441812,,,,,,,,
1599,79,394.832756313,,1735814663.550455,8.0,0.7300425171852112,,,,,,
1649,80,400.541301975,1e-05,1735814669.2588928,,,,,,,,
1649,81,400.650108041,,1735814669.3677993,8.0,0.5504353642463684,,,,,,
1699,82,406.33654632,1e-05,1735814675.0542364,,,,,,,,
1699,83,406.44486298,,1735814675.1625793,8.0,0.6971166133880615,,,,,,
1749,84,412.127797547,1e-05,1735814680.8454854,,,,,,,,
1749,85,412.23646258,,1735814680.9538944,8.0,0.6204397678375244,,,,,,
1754,86,415.426746521,,1735814684.144363,8.0,,0.6358381509780884,0.6300907731056213,,,,
1754,87,433.700774425,,1735814702.4184122,8.0,,,,0.6719653010368347,0.6145864129066467,,
1799,88,440.644523357,1e-05,1735814709.3621204,,,,,,,,
1799,89,440.752828748,,1735814709.470593,9.0,0.5865548849105835,,,,,,
1849,90,446.448570075,1e-05,1735814715.1662323,,,,,,,,
1849,91,446.557088185,,1735814715.274826,9.0,0.49288108944892883,,,,,,
1899,92,452.261577246,1e-05,1735814720.9792511,,,,,,,,
1899,93,452.37077499,,1735814721.0884662,9.0,0.6383389234542847,,,,,,
1949,94,458.04109889,1e-05,1735814726.7588184,,,,,,,,
1949,95,458.107788499,,1735814726.8255248,9.0,0.577040433883667,,,,,,
1949,96,460.818329501,,1735814729.535931,9.0,,0.6531791687011719,0.6281636953353882,,,,
1949,97,479.60292647,,1735814748.320631,9.0,,,,0.6698779463768005,0.6111873388290405,,
1999,98,487.13193215,1e-05,1735814755.849559,,,,,,,,
1999,99,487.2406035,,1735814755.9582639,10.0,0.6962237358093262,,,,,,
2049,100,492.953697249,1e-05,1735814761.67139,,,,,,,,
2049,101,493.062611775,,1735814761.7802603,10.0,0.6100517511367798,,,,,,
2099,102,498.769000319,1e-05,1735814767.4866714,,,,,,,,
2099,103,498.877874309,,1735814767.5955343,10.0,0.569725751876831,,,,,,
2144,104,506.725639684,,1735814775.443213,10.0,,0.6618497371673584,0.6217010617256165,,,,
2144,105,525.111780985,,1735814793.829489,10.0,,,,0.6825626492500305,0.6038241982460022,,
2149,106,527.457890346,1e-05,1735814796.1753297,,,,,,,,
2149,107,527.567008466,,1735814796.2846718,11.0,0.584479570388794,,,,,,
2199,108,533.25808634,1e-05,1735814801.975747,,,,,,,,
2199,109,533.366613523,,1735814802.084405,11.0,0.6658979058265686,,,,,,
2249,110,539.068716436,1e-05,1735814807.7863457,,,,,,,,
2249,111,539.177383321,,1735814807.8951416,11.0,0.6685627102851868,,,,,,
2299,112,544.882031572,1e-05,1735814813.5996437,,,,,,,,
2299,113,544.990515324,,1735814813.708287,11.0,0.6736913323402405,,,,,,
2339,114,552.263456873,,1735814820.98112,11.0,,0.663294792175293,0.6253491044044495,,,,
2339,115,571.23534029,,1735814839.95304,11.0,,,,0.681438684463501,0.600992739200592,,
2349,116,574.151744514,1e-05,1735814842.869303,,,,,,,,
2349,117,574.259980904,,1735814842.977715,12.0,0.6714237332344055,,,,,,
2399,118,579.951104424,1e-05,1735814848.6687782,,,,,,,,
2399,119,580.059283217,,1735814848.7769785,12.0,0.5624030828475952,,,,,,
2449,120,585.746517014,1e-05,1735814854.4641538,,,,,,,,
2449,121,585.854447622,,1735814854.572142,12.0,0.6025379300117493,,,,,,
2499,122,591.544088537,1e-05,1735814860.261803,,,,,,,,
2499,123,591.652579515,,1735814860.3703024,12.0,0.5996893048286438,,,,,,
2534,124,598.310348664,,1735814867.027951,12.0,,0.660404622554779,0.6193610429763794,,,,
2534,125,616.87207892,,1735814885.5897617,12.0,,,,0.6836865544319153,0.5985102653503418,,
2549,126,620.373768399,1e-05,1735814889.0913904,,,,,,,,
2549,127,620.482108325,,1735814889.1998093,13.0,0.6780209541320801,,,,,,
2599,128,626.165757856,1e-05,1735814894.8834088,,,,,,,,
2599,129,626.274039083,,1735814894.9917352,13.0,0.6407814621925354,,,,,,
2649,130,631.960387316,1e-05,1735814900.6780632,,,,,,,,
2649,131,632.068828884,,1735814900.7865639,13.0,0.5897102355957031,,,,,,
2699,132,637.753893947,1e-05,1735814906.471667,,,,,,,,
2699,133,637.862091958,,1735814906.5798368,13.0,0.5575719475746155,,,,,,
2729,134,643.97949965,,1735814912.6971684,13.0,,0.6705202460289001,0.6067078113555908,,,,
2729,135,661.68553876,,1735814930.4032245,13.0,,,,0.6877006888389587,0.5936017632484436,,
2749,136,665.756206963,1e-05,1735814934.4737437,,,,,,,,
2749,137,665.864739843,,1735814934.5824845,14.0,0.6406112909317017,,,,,,
2799,138,671.55784142,1e-05,1735814940.2755044,,,,,,,,
2799,139,671.666179306,,1735814940.383898,14.0,0.6236036419868469,,,,,,
2849,140,677.366607547,1e-05,1735814946.0842457,,,,,,,,
2849,141,677.475041181,,1735814946.1927874,14.0,0.44538015127182007,,,,,,
2899,142,683.174768502,1e-05,1735814951.8921785,,,,,,,,
2899,143,683.2832357,,1735814952.0005713,14.0,0.7684962749481201,,,,,,
2924,144,688.799516365,,1735814957.517102,14.0,,0.6777456402778625,0.6153960824012756,,,,
2924,145,688.806001929,,1735814957.5237286,14.0,,,,0.6875401139259338,0.5936999917030334,,
2949,146,693.482284493,1e-05,1735814962.199888,,,,,,,,
2949,147,693.590821142,,1735814962.30854,15.0,0.5561849474906921,,,,,,
2999,148,699.289236271,1e-05,1735814968.0068743,,,,,,,,
2999,149,699.397543279,,1735814968.115225,15.0,0.5414867997169495,,,,,,
3049,150,705.100277235,1e-05,1735814973.8179152,,,,,,,,
3049,151,705.209268556,,1735814973.9269464,15.0,0.45933619141578674,,,,,,
3099,152,710.900857519,1e-05,1735814979.618575,,,,,,,,
3099,153,711.009596267,,1735814979.7270932,15.0,0.6025791168212891,,,,,,
3119,154,715.974624847,,1735814984.6922324,15.0,,0.6647399067878723,0.6112493872642517,,,,
3119,155,733.592902187,,1735815002.3105674,15.0,,,,0.6860950589179993,0.589736819267273,,
3149,156,738.825813308,1e-05,1735815007.5432987,,,,,,,,
3149,157,738.934417595,,1735815007.6521094,16.0,0.5994480848312378,,,,,,
3199,158,744.636912408,1e-05,1735815013.3545992,,,,,,,,
3199,159,744.745653542,,1735815013.4633973,16.0,0.6215009689331055,,,,,,
3249,160,750.450789647,1e-05,1735815019.1684742,,,,,,,,
3249,161,750.558962646,,1735815019.2767487,16.0,0.5601691603660583,,,,,,
3299,162,756.260083188,1e-05,1735815024.9778059,,,,,,,,
3299,163,756.368477382,,1735815025.0862072,16.0,0.5153540968894958,,,,,,
3314,164,760.706951211,,1735815029.424597,16.0,,0.6719653010368347,0.6108982563018799,,,,
3314,165,779.585431183,,1735815048.3031235,16.0,,,,0.692035973072052,0.5881789922714233,,
3349,166,785.350385128,1e-05,1735815054.067991,,,,,,,,
3349,167,785.459165958,,1735815054.176864,17.0,0.5986056327819824,,,,,,
3399,168,791.161042334,1e-05,1735815059.8787184,,,,,,,,
3399,169,791.269159531,,1735815059.9869196,17.0,0.5472531914710999,,,,,,
3449,170,796.957123055,1e-05,1735815065.6748104,,,,,,,,
3449,171,797.065469802,,1735815065.7832086,17.0,0.48194196820259094,,,,,,
3499,172,802.759562734,1e-05,1735815071.4772274,,,,,,,,
3499,173,802.86770111,,1735815071.5854776,17.0,0.560353696346283,,,,,,
3509,174,806.64510272,,1735815075.3627353,17.0,,0.6806358098983765,0.5961762070655823,,,,
3509,175,823.845380106,,1735815092.5630689,17.0,,,,0.692035973072052,0.586579442024231,,
3549,176,830.250354398,1e-05,1735815098.9678981,,,,,,,,
3549,177,830.358172485,,1735815099.0758655,18.0,0.5683441758155823,,,,,,
3599,178,836.053160143,1e-05,1735815104.770809,,,,,,,,
3599,179,836.162029,,1735815104.879695,18.0,0.5768189430236816,,,,,,
3649,180,841.857814803,1e-05,1735815110.575476,,,,,,,,
3649,181,841.966094296,,1735815110.6838088,18.0,0.6603548526763916,,,,,,
3699,182,847.643539328,1e-05,1735815116.3612194,,,,,,,,
3699,183,847.751804624,,1735815116.46953,18.0,0.5933647155761719,,,,,,
3704,184,850.933720029,,1735815119.6513088,18.0,,0.689306378364563,0.6116250157356262,,,,
3704,185,868.944541132,,1735815137.6621773,18.0,,,,0.6968529224395752,0.5830559730529785,,
3749,186,875.932288294,1e-05,1735815144.649828,,,,,,,,
3749,187,876.040791838,,1735815144.7585125,19.0,0.584396481513977,,,,,,
3799,188,881.739379068,1e-05,1735815150.457028,,,,,,,,
3799,189,881.847763728,,1735815150.5654407,19.0,0.569627583026886,,,,,,
3849,190,887.549619885,1e-05,1735815156.2672722,,,,,,,,
3849,191,887.65814587,,1735815156.375881,19.0,0.5026842951774597,,,,,,
3899,192,893.335750326,1e-05,1735815162.0534694,,,,,,,,
3899,193,893.402235714,,1735815162.119994,19.0,0.5548357367515564,,,,,,
3899,194,896.184521634,,1735815164.9021633,19.0,,0.6719653010368347,0.6048979163169861,,,,
3899,195,914.798416691,,1735815183.516109,19.0,,,,0.7032755017280579,0.5796048641204834,,
3949,196,922.348883295,1e-05,1735815191.0664737,,,,,,,,
3949,197,922.456989755,,1735815191.1747274,20.0,0.5303965210914612,,,,,,
3999,198,928.154160174,1e-05,1735815196.8718588,,,,,,,,
3999,199,928.262825091,,1735815196.980556,20.0,0.43408656120300293,,,,,,
4049,200,933.977815441,1e-05,1735815202.6954784,,,,,,,,
4049,201,934.086331349,,1735815202.8040013,20.0,0.5884004235267639,,,,,,
4094,202,941.888724028,,1735815210.6063857,20.0,,0.6806358098983765,0.6044094562530518,,,,
4094,203,960.772262037,,1735815229.489914,20.0,,,,0.7015092968940735,0.5776695013046265,,
4099,204,963.075663401,1e-05,1735815231.793141,,,,,,,,
4099,205,963.185564606,,1735815231.9031286,21.0,0.5754832625389099,,,,,,
4149,206,968.891661517,1e-05,1735815237.609335,,,,,,,,
4149,207,969.000469453,,1735815237.7181442,21.0,0.5125943422317505,,,,,,
4199,208,974.69570122,1e-05,1735815243.413403,,,,,,,,
4199,209,974.804533021,,1735815243.5221808,21.0,0.54644775390625,,,,,,
4249,210,980.503333723,1e-05,1735815249.2209134,,,,,,,,
4249,211,980.61253648,,1735815249.330274,21.0,0.5110011100769043,,,,,,
4289,212,987.887742667,,1735815256.6053839,21.0,,0.6748554706573486,0.5948181748390198,,,,
4289,213,1006.362027166,,1735815275.0792952,21.0,,,,0.7064868211746216,0.575744092464447,,
4299,214,1009.300289829,1e-05,1735815278.0178533,,,,,,,,
4299,215,1009.408770803,,1735815278.1264808,22.0,0.5383760929107666,,,,,,
4349,216,1015.103107794,1e-05,1735815283.8208277,,,,,,,,
4349,217,1015.211460579,,1735815283.9291778,22.0,0.5154680609703064,,,,,,
4399,218,1020.912428103,1e-05,1735815289.630129,,,,,,,,
4399,219,1021.021254435,,1735815289.7389545,22.0,0.6429608464241028,,,,,,
4449,220,1026.714866762,1e-05,1735815295.4325478,,,,,,,,
4449,221,1026.823246156,,1735815295.5408776,22.0,0.5446026921272278,,,,,,
4484,222,1033.495382078,,1735815302.2130008,22.0,,0.7023121118545532,0.5894929766654968,,,,
4484,223,1051.183478444,,1735815319.9011803,22.0,,,,0.7019910216331482,0.5752555131912231,,
4499,224,1054.691285022,1e-05,1735815323.4088552,,,,,,,,
4499,225,1054.799832472,,1735815323.5175593,23.0,0.5893921256065369,,,,,,
4549,226,1060.495117533,1e-05,1735815329.2128007,,,,,,,,
4549,227,1060.603218326,,1735815329.32089,23.0,0.5240731835365295,,,,,,
4599,228,1066.304348047,1e-05,1735815335.0220082,,,,,,,,
4599,229,1066.413674357,,1735815335.1313124,23.0,0.6219555735588074,,,,,,
4649,230,1072.117566882,1e-05,1735815340.8352928,,,,,,,,
4649,231,1072.225820121,,1735815340.9435458,23.0,0.45921003818511963,,,,,,
4679,232,1078.332867691,,1735815347.0504842,23.0,,0.6820809245109558,0.5946366786956787,,,,
4679,233,1096.084831169,,1735815364.8025496,23.0,,,,0.7063262462615967,0.571731448173523,,
4699,234,1100.123700212,1e-05,1735815368.8412573,,,,,,,,
4699,235,1100.232794498,,1735815368.950484,24.0,0.5811340808868408,,,,,,
4749,236,1105.931869861,1e-05,1735815374.6495576,,,,,,,,
4749,237,1106.040245771,,1735815374.7579203,24.0,0.5536358952522278,,,,,,
4799,238,1111.746039771,1e-05,1735815380.463721,,,,,,,,
4799,239,1111.854791956,,1735815380.5725288,24.0,0.5139662623405457,,,,,,
4849,240,1117.546941381,1e-05,1735815386.2646286,,,,,,,,
4849,241,1117.655220048,,1735815386.3730004,24.0,0.6088259816169739,,,,,,
4874,242,1123.137259246,,1735815391.8549156,24.0,,0.6849710941314697,0.5905652642250061,,,,
4874,243,1141.063221008,,1735815409.780903,24.0,,,,0.7088953256607056,0.5683486461639404,,
4899,244,1145.718570716,1e-05,1735815414.4360216,,,,,,,,
4899,245,1145.826709883,,1735815414.544396,25.0,0.7472065687179565,,,,,,
4949,246,1151.524184681,1e-05,1735815420.2419357,,,,,,,,
4949,247,1151.632604704,,1735815420.3503213,25.0,0.5966836810112,,,,,,
4999,248,1157.340301144,1e-05,1735815426.0579689,,,,,,,,
4999,249,1157.448464636,,1735815426.1661549,25.0,0.5596088767051697,,,,,,
5049,250,1163.140682523,1e-05,1735815431.8583775,,,,,,,,
5049,251,1163.248953076,,1735815431.9666984,25.0,0.5847306251525879,,,,,,
5069,252,1168.230740037,,1735815436.948292,25.0,,0.6950867176055908,0.589881181716919,,,,
5069,253,1186.344944598,,1735815455.0626028,25.0,,,,0.7106615304946899,0.5657700896263123,,
5099,254,1191.562385735,1e-05,1735815460.2799845,,,,,,,,
5099,255,1191.670861814,,1735815460.3885462,26.0,0.5765553116798401,,,,,,
5149,256,1197.353901379,1e-05,1735815466.0715923,,,,,,,,
5149,257,1197.46240533,,1735815466.1801062,26.0,0.5852662920951843,,,,,,
5199,258,1203.165653324,1e-05,1735815471.8832932,,,,,,,,
5199,259,1203.274412153,,1735815471.9921515,26.0,0.4845609664916992,,,,,,
5249,260,1208.959640871,1e-05,1735815477.6773386,,,,,,,,
5249,261,1209.067933877,,1735815477.7856653,26.0,0.5947901606559753,,,,,,
5264,262,1213.44931551,,1735815482.1669743,26.0,,0.689306378364563,0.5924736261367798,,,,
5264,263,1213.455374906,,1735815482.1731813,26.0,,,,0.7084136009216309,0.5671620965003967,,
5299,264,1219.292769543,1e-05,1735815488.0103254,,,,,,,,
5299,265,1219.40178303,,1735815488.119409,27.0,0.5445699691772461,,,,,,
5349,266,1225.104254977,1e-05,1735815493.821935,,,,,,,,
