trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,54.43997653,1e-05,1735816073.6623588,,,,,,,,
49,1,54.548103661,,1735816073.7706597,0.0,0.0270241592079401,,,,,,
99,2,60.215426936,1e-05,1735816079.4378796,,,,,,,,
99,3,60.323851795,,1735816079.546386,0.0,0.03356384113430977,,,,,,
140,4,67.281308116,,1735816086.503792,0.0,,0.9700000286102295,0.10898783057928085,,,,
140,5,85.296117215,,1735816104.480622,0.0,,,,0.9808889031410217,0.07384179532527924,,
149,6,88.021350481,1e-05,1735816107.2437346,,,,,,,,
149,7,88.129698005,,1735816107.352278,1.0,0.142131045460701,,,,,,
199,8,93.802817933,1e-05,1735816113.0252686,,,,,,,,
199,9,93.91127378,,1735816113.1338356,1.0,0.1190684586763382,,,,,,
249,10,99.584518463,1e-05,1735816118.8070498,,,,,,,,
249,11,99.69251544,,1735816118.9150634,1.0,0.02502845600247383,,,,,,
281,12,105.611637896,,1735816124.8340957,1.0,,0.9760000109672546,0.094425268471241,,,,
281,13,123.419365988,,1735816142.641856,1.0,,,,0.9853333234786987,0.06684289872646332,,
299,14,127.265040852,1e-05,1735816146.4874585,,,,,,,,
299,15,127.373409856,,1735816146.595955,2.0,0.03455014526844025,,,,,,
349,16,133.043956951,1e-05,1735816152.2664378,,,,,,,,
349,17,133.152282384,,1735816152.3748271,2.0,0.1637553721666336,,,,,,
399,18,138.820809053,1e-05,1735816158.0433118,,,,,,,,
399,19,138.928589505,,1735816158.1511414,2.0,0.0804523378610611,,,,,,
422,20,143.723763895,,1735816162.9462154,2.0,,0.9819999933242798,0.07984623312950134,,,,
422,21,161.954265166,,1735816181.1764925,2.0,,,,0.9837777614593506,0.063381128013134,,
449,22,166.768047826,1e-05,1735816185.9904323,,,,,,,,
449,23,166.876456354,,1735816186.099009,3.0,0.015262157656252384,,,,,,
499,24,172.559093517,1e-05,1735816191.7816362,,,,,,,,
499,25,172.667670391,,1735816191.8902032,3.0,0.05419875681400299,,,,,,
549,26,178.343604582,1e-05,1735816197.566136,,,,,,,,
549,27,178.451970551,,1735816197.6745625,3.0,0.026344643905758858,,,,,,
563,28,182.22211349,,1735816201.4445894,3.0,,0.9760000109672546,0.07748431712388992,,,,
563,29,200.802220598,,1735816220.024549,3.0,,,,0.9844444394111633,0.05879443883895874,,
599,30,206.608380303,1e-05,1735816225.8307722,,,,,,,,
599,31,206.716229724,,1735816225.9387848,4.0,0.02443511039018631,,,,,,
649,32,212.404426484,1e-05,1735816231.626899,,,,,,,,
649,33,212.512828461,,1735816231.7353792,4.0,0.030673209577798843,,,,,,
699,34,218.182449808,1e-05,1735816237.4049177,,,,,,,,
699,35,218.290590765,,1735816237.513185,4.0,0.039207011461257935,,,,,,
704,36,220.997053335,,1735816240.2195115,4.0,,0.9819999933242798,0.06765527278184891,,,,
704,37,239.089166792,,1735816258.3116763,4.0,,,,0.9868888854980469,0.05523110181093216,,
749,38,245.937077109,1e-05,1735816265.1594205,,,,,,,,
749,39,246.045476111,,1735816265.2680511,5.0,0.029925305396318436,,,,,,
799,40,251.734845316,1e-05,1735816270.9572992,,,,,,,,
799,41,251.843201757,,1735816271.0657806,5.0,0.018741397187113762,,,,,,
845,42,259.343123855,,1735816278.5655975,5.0,,0.9800000190734863,0.0688592940568924,,,,
845,43,277.885247087,,1735816297.1077487,5.0,,,,0.9886666536331177,0.051947928965091705,,
849,44,279.991569721,1e-05,1735816299.2139657,,,,,,,,
849,45,280.099763037,,1735816299.32236,6.0,0.053864456713199615,,,,,,
899,46,285.772930723,1e-05,1735816304.995355,,,,,,,,
899,47,285.880746461,,1735816305.1032364,6.0,0.13023322820663452,,,,,,
949,48,291.550627879,1e-05,1735816310.773119,,,,,,,,
949,49,291.658912856,,1735816310.8814592,6.0,0.016651576384902,,,,,,
