trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,42.053534388,1e-05,1735818123.613864,,,,,,,,
49,1,42.165989924,,1735818123.7267287,0.0,1.208236813545227,,,,,,
99,2,48.176334006,1e-05,1735818129.736641,,,,,,,,
99,3,48.287261792,,1735818129.8479347,0.0,1.3237851858139038,,,,,,
149,4,54.307582202,1e-05,1735818135.8679693,,,,,,,,
149,5,54.419113999,,1735818135.9798265,0.0,1.4771331548690796,,,,,,
199,6,60.385932933,1e-05,1735818141.9466639,,,,,,,,
199,7,60.495679468,,1735818142.0560727,0.0,1.1575802564620972,,,,,,
249,8,66.46941971,1e-05,1735818148.030028,,,,,,,,
249,9,66.579833825,,1735818148.1406968,0.0,1.2468397617340088,,,,,,
299,10,72.652143502,1e-05,1735818154.2127235,,,,,,,,
299,11,72.765899244,,1735818154.3265264,0.0,1.49583899974823,,,,,,
349,12,78.762971878,1e-05,1735818160.3232477,,,,,,,,
349,13,78.876051594,,1735818160.4368498,0.0,1.7229993343353271,,,,,,
399,14,84.940342583,1e-05,1735818166.501129,,,,,,,,
399,15,85.050608542,,1735818166.6110382,0.0,1.1691792011260986,,,,,,
449,16,91.165022838,1e-05,1735818172.725479,,,,,,,,
449,17,91.28082341,,1735818172.84161,0.0,1.042762041091919,,,,,,
499,18,97.356622211,1e-05,1735818178.9173045,,,,,,,,
499,19,97.469139846,,1735818179.0292592,0.0,0.9257266521453857,,,,,,
549,20,103.355770701,1e-05,1735818184.9166224,,,,,,,,
549,21,103.464357737,,1735818185.0252843,0.0,1.0143804550170898,,,,,,
558,22,112.831167497,,1735818194.3920212,0.0,,0.6609571576118469,1.190509557723999,,,,
558,23,131.284450218,,1735818212.824083,0.0,,,,0.6654351949691772,1.1801332235336304,,
599,24,139.944159782,1e-05,1735818221.5047917,,,,,,,,
599,25,140.054250845,,1735818221.6148798,1.0,1.1177481412887573,,,,,,
649,26,146.031377965,1e-05,1735818227.591902,,,,,,,,
649,27,146.140622704,,1735818227.7014456,1.0,1.1517654657363892,,,,,,
699,28,152.149041003,1e-05,1735818233.7098403,,,,,,,,
699,29,152.25913355,,1735818233.819342,1.0,1.4080380201339722,,,,,,
749,30,158.204424821,1e-05,1735818239.7652533,,,,,,,,
749,31,158.31519696,,1735818239.8758883,1.0,1.3702389001846313,,,,,,
799,32,164.288386903,1e-05,1735818245.8486078,,,,,,,,
799,33,164.399741333,,1735818245.9600282,1.0,1.377277135848999,,,,,,
849,34,170.42413762,1e-05,1735818251.9848201,,,,,,,,
849,35,170.535588221,,1735818252.0960214,1.0,1.1348711252212524,,,,,,
899,36,176.561572285,1e-05,1735818258.122112,,,,,,,,
899,37,176.674033759,,1735818258.2347677,1.0,1.1299469470977783,,,,,,
949,38,182.683608623,1e-05,1735818264.2444491,,,,,,,,
949,39,182.793364591,,1735818264.3542094,1.0,0.7520666122436523,,,,,,
999,40,188.796468904,1e-05,1735818270.3568552,,,,,,,,
999,41,188.907863029,,1735818270.4683917,1.0,0.7668925523757935,,,,,,
1049,42,194.941182832,1e-05,1735818276.5019321,,,,,,,,
1049,43,195.05095959,,1735818276.6113868,1.0,1.5437374114990234,,,,,,
1099,44,200.998833356,1e-05,1735818282.559728,,,,,,,,
1099,45,201.107095819,,1735818282.668076,1.0,0.8997103571891785,,,,,,
1117,46,211.431454849,,1735818292.953627,1.0,,0.6619647145271301,1.1548302173614502,,,,
1117,47,229.628538692,,1735818311.1893835,1.0,,,,0.6741673946380615,1.1439703702926636,,
1149,48,237.401617824,1e-05,1735818318.9620512,,,,,,,,
1149,49,237.512269842,,1735818319.07268,2.0,0.833372950553894,,,,,,
1199,50,243.49440395,1e-05,1735818325.055255,,,,,,,,
1199,51,243.605346452,,1735818325.165876,2.0,0.8905516266822815,,,,,,
1249,52,249.604052784,1e-05,1735818331.1648347,,,,,,,,
1249,53,249.713410319,,1735818331.274199,2.0,0.7635478377342224,,,,,,
1299,54,255.716495201,1e-05,1735818337.2772245,,,,,,,,
1299,55,255.828254903,,1735818337.3889456,2.0,0.8509536385536194,,,,,,
1349,56,261.820151759,1e-05,1735818343.380831,,,,,,,,
1349,57,261.932742218,,1735818343.4935205,2.0,0.9364010691642761,,,,,,
1399,58,267.94877039,1e-05,1735818349.5093024,,,,,,,,
1399,59,268.058806687,,1735818349.619603,2.0,1.3077651262283325,,,,,,
1449,60,274.074742739,1e-05,1735818355.6355777,,,,,,,,
1449,61,274.185967361,,1735818355.7464926,2.0,1.0277312994003296,,,,,,
1499,62,280.172046138,1e-05,1735818361.73257,,,,,,,,
1499,63,280.282745457,,1735818361.8434873,2.0,1.1100376844406128,,,,,,
1549,64,286.28152644,1e-05,1735818367.8423042,,,,,,,,
1549,65,286.392875586,,1735818367.9536066,2.0,1.0093742609024048,,,,,,
1599,66,292.448717635,1e-05,1735818374.0086465,,,,,,,,
1599,67,292.564361142,,1735818374.1250896,2.0,0.9889506697654724,,,,,,
1649,68,298.563234512,1e-05,1735818380.1241252,,,,,,,,
1649,69,298.672084768,,1735818380.2329705,2.0,1.625976324081421,,,,,,
1676,70,309.99177375,,1735818391.5526416,2.0,,0.6750629544258118,1.1291176080703735,,,,
1676,71,327.80094806,,1735818409.3617923,2.0,,,,0.6803246736526489,1.1141433715820312,,
1699,72,334.745586863,1e-05,1735818416.3061597,,,,,,,,
1699,73,334.85710197,,1735818416.4171987,3.0,1.2133276462554932,,,,,,
1749,74,340.848755029,1e-05,1735818422.4091015,,,,,,,,
1749,75,340.963270279,,1735818422.524065,3.0,0.9582928419113159,,,,,,
1799,76,346.949143059,1e-05,1735818428.509557,,,,,,,,
1799,77,347.060837814,,1735818428.6215496,3.0,1.1391541957855225,,,,,,
1849,78,353.066534199,1e-05,1735818434.6273232,,,,,,,,
1849,79,353.178272983,,1735818434.7390387,3.0,1.3391778469085693,,,,,,
1899,80,359.186999413,1e-05,1735818440.7476916,,,,,,,,
1899,81,359.298683789,,1735818440.8592646,3.0,0.9429029822349548,,,,,,
1949,82,365.30182196,1e-05,1735818446.862583,,,,,,,,
1949,83,365.411256989,,1735818446.9720442,3.0,1.3103625774383545,,,,,,
1999,84,371.405553714,1e-05,1735818452.9662204,,,,,,,,
1999,85,371.516744349,,1735818453.0773635,3.0,1.3323594331741333,,,,,,
2049,86,377.533468308,1e-05,1735818459.0939143,,,,,,,,
2049,87,377.643428367,,1735818459.204179,3.0,1.1731131076812744,,,,,,
2099,88,383.606894667,1e-05,1735818465.1676736,,,,,,,,
2099,89,383.717730353,,1735818465.2785485,3.0,0.7648385763168335,,,,,,
2149,90,389.757843416,1e-05,1735818471.318484,,,,,,,,
2149,91,389.870074619,,1735818471.4307754,3.0,1.4418256282806396,,,,,,
2199,92,395.899654482,1e-05,1735818477.4604447,,,,,,,,
2199,93,396.0106965,,1735818477.571489,3.0,0.7577096223831177,,,,,,
2235,94,408.403027618,,1735818489.963877,3.0,,0.6654911637306213,1.1098941564559937,,,,
2235,95,426.170649931,,1735818507.7315583,3.0,,,,0.6873775720596313,1.0902509689331055,,
2249,96,431.214165815,1e-05,1735818512.7741234,,,,,,,,
2249,97,431.331491048,,1735818512.891656,4.0,1.3521552085876465,,,,,,
2299,98,437.409003369,1e-05,1735818518.969697,,,,,,,,
2299,99,437.521560823,,1735818519.08218,4.0,1.0739549398422241,,,,,,
2349,100,443.507034994,1e-05,1735818525.0677063,,,,,,,,
2349,101,443.617404091,,1735818525.1782026,4.0,1.0804541110992432,,,,,,
2399,102,449.598403237,1e-05,1735818531.1591027,,,,,,,,
2399,103,449.709469535,,1735818531.2701397,4.0,1.149593710899353,,,,,,
2449,104,455.690093098,1e-05,1735818537.2507424,,,,,,,,
2449,105,455.804325149,,1735818537.3650372,4.0,1.0164541006088257,,,,,,
2499,106,461.824005185,1e-05,1735818543.3846955,,,,,,,,
2499,107,461.937511737,,1735818543.4982538,4.0,1.2081315517425537,,,,,,
2549,108,467.94653505,1e-05,1735818549.506847,,,,,,,,
