trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,52.539506917,1e-05,1736029862.840554,,,,,,,,
49,1,52.65337523,,1736029862.954501,0.0,1.208236813545227,,,,,,
99,2,59.342007199,1e-05,1736029869.6422894,,,,,,,,
99,3,59.459147195,,1736029869.7603202,0.0,1.3237851858139038,,,,,,
149,4,66.095609419,1e-05,1736029876.395498,,,,,,,,
149,5,66.209639696,,1736029876.5109408,0.0,1.4771331548690796,,,,,,
199,6,72.880456269,1e-05,1736029883.1814883,,,,,,,,
199,7,72.997303229,,1736029883.2986963,0.0,1.1575802564620972,,,,,,
249,8,79.565653609,1e-05,1736029889.8670602,,,,,,,,
249,9,79.679072531,,1736029889.98024,0.0,1.2468397617340088,,,,,,
299,10,86.3692959,1e-05,1736029896.6641214,,,,,,,,
299,11,86.494759472,,1736029896.795719,0.0,1.49583899974823,,,,,,
349,12,93.02655925,1e-05,1736029903.3275301,,,,,,,,
349,13,93.163112036,,1736029903.4638143,0.0,1.7229993343353271,,,,,,
399,14,99.696895469,1e-05,1736029909.9981434,,,,,,,,
399,15,99.807930144,,1736029910.109348,0.0,1.1691792011260986,,,,,,
449,16,106.440304613,1e-05,1736029916.74086,,,,,,,,
449,17,106.56440179,,1736029916.8642716,0.0,1.042762041091919,,,,,,
499,18,113.266177312,1e-05,1736029923.5674174,,,,,,,,
499,19,113.389406487,,1736029923.6902874,0.0,0.9257266521453857,,,,,,
549,20,119.778925771,1e-05,1736029930.0802493,,,,,,,,
549,21,119.889714973,,1736029930.1912417,0.0,1.0143804550170898,,,,,,
558,22,131.01364325,,1736029941.315157,0.0,,0.6609571576118469,1.190509557723999,,,,
558,23,152.571882867,,1736029962.8734887,0.0,,,,0.6654351949691772,1.1801332235336304,,
559,24,165.212209369,,1736029975.5136633,1.0,,,,,,0.6574307084083557,1.186049222946167
