trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,37.838887822,1e-05,1735755461.7074134,,,,,,,,
49,1,37.947960196,,1735755461.8165872,0.0,1.9090368747711182,,,,,,
99,2,43.616031576,1e-05,1735755467.4846547,,,,,,,,
99,3,43.724236023,,1735755467.5929244,0.0,1.7148206233978271,,,,,,
149,4,49.400564129,1e-05,1735755473.2691684,,,,,,,,
149,5,49.508971085,,1735755473.3776343,0.0,1.7083027362823486,,,,,,
199,6,55.174851556,1e-05,1735755479.0434,,,,,,,,
199,7,55.282995078,,1735755479.1516693,0.0,1.6581683158874512,,,,,,
249,8,60.951629295000004,1e-05,1735755484.8202355,,,,,,,,
249,9,61.06017612,,1735755484.9287474,0.0,1.5164446830749512,,,,,,
299,10,66.725126371,1e-05,1735755490.5937676,,,,,,,,
299,11,66.833604123,,1735755490.7022066,0.0,1.4274964332580566,,,,,,
349,12,72.498493665,1e-05,1735755496.3671145,,,,,,,,
349,13,72.606493115,,1735755496.4751797,0.0,1.5191274881362915,,,,,,
399,14,78.271650698,1e-05,1735755502.1402364,,,,,,,,
399,15,78.380076726,,1735755502.2487416,0.0,1.392730951309204,,,,,,
449,16,84.053024944,1e-05,1735755507.921649,,,,,,,,
449,17,84.161656655,,1735755508.0303462,0.0,1.4653692245483398,,,,,,
499,18,89.825928774,1e-05,1735755513.6944997,,,,,,,,
499,19,89.934139662,,1735755513.8028016,0.0,1.1781703233718872,,,,,,
549,20,95.607462404,1e-05,1735755519.476031,,,,,,,,
549,21,95.715893894,,1735755519.5845494,0.0,1.0827316045761108,,,,,,
599,22,101.383481493,1e-05,1735755525.2521257,,,,,,,,
599,23,101.49229118,,1735755525.3609395,0.0,1.4474835395812988,,,,,,
649,24,107.161701838,1e-05,1735755531.0303342,,,,,,,,
649,25,107.270135224,,1735755531.138817,0.0,1.1615115404129028,,,,,,
699,26,112.954672315,1e-05,1735755536.823247,,,,,,,,
699,27,113.063199365,,1735755536.9318542,0.0,1.5671085119247437,,,,,,
749,28,118.746258119,1e-05,1735755542.614839,,,,,,,,
749,29,118.85500032,,1735755542.723654,0.0,1.083605408668518,,,,,,
799,30,124.538133634,1e-05,1735755548.4067364,,,,,,,,
799,31,124.646650088,,1735755548.5153182,0.0,1.4724950790405273,,,,,,
849,32,130.323838785,1e-05,1735755554.1924272,,,,,,,,
849,33,130.432672783,,1735755554.301278,0.0,1.1618486642837524,,,,,,
899,34,136.110732017,1e-05,1735755559.979351,,,,,,,,
899,35,136.219805702,,1735755560.0884995,0.0,0.9053543210029602,,,,,,
949,36,141.902261605,1e-05,1735755565.7708683,,,,,,,,
949,37,142.010609985,,1735755565.8792622,0.0,0.9874957799911499,,,,,,
999,38,147.695095815,1e-05,1735755571.563689,,,,,,,,
