trainer/global_step,_step,_runtime,lr-Adam,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,38.828646818,1e-05,1736188865.133895,,,,,,,,
49,1,38.985748648,,1736188865.2912638,0.0,0.5159968733787537,,,,,,
99,2,45.268451219,1e-05,1736188871.5739102,,,,,,,,
99,3,45.382624923,,1736188871.6881008,0.0,0.12976734340190887,,,,,,
149,4,51.694008916,1e-05,1736188877.9994137,,,,,,,,
149,5,51.808272848,,1736188878.1137085,0.0,0.4302617311477661,,,,,,
199,6,58.096408046,1e-05,1736188884.4018624,,,,,,,,
199,7,58.210579805,,1736188884.516028,0.0,0.2671845853328705,,,,,,
249,8,64.521696881,1e-05,1736188890.8266773,,,,,,,,
249,9,64.692543619,,1736188890.9980197,0.0,0.29231494665145874,,,,,,
299,10,71.015893178,1e-05,1736188897.3213341,,,,,,,,
299,11,71.130479143,,1736188897.4357042,0.0,0.4892837405204773,,,,,,
349,12,77.37406059,1e-05,1736188903.6794653,,,,,,,,
349,13,77.488290868,,1736188903.7937086,0.0,0.2516508102416992,,,,,,
399,14,83.769051163,1e-05,1736188910.0744684,,,,,,,,
399,15,83.882877163,,1736188910.188233,0.0,0.7454284429550171,,,,,,
449,16,90.252620095,1e-05,1736188916.558064,,,,,,,,
449,17,90.401463162,,1736188916.706922,0.0,0.5082007050514221,,,,,,
499,18,96.684228281,1e-05,1736188922.9896336,,,,,,,,
499,19,96.798257731,,1736188923.1037374,0.0,0.3904173672199249,,,,,,
549,20,103.098550098,1e-05,1736188929.4039698,,,,,,,,
549,21,103.213172659,,1736188929.5186172,0.0,0.0571100153028965,,,,,,
599,22,109.571240305,1e-05,1736188935.8766472,,,,,,,,
599,23,109.685414345,,1736188935.990838,0.0,0.27382850646972656,,,,,,
649,24,115.998644006,1e-05,1736188942.3040695,,,,,,,,
649,25,116.112586903,,1736188942.4179828,0.0,0.2833350598812103,,,,,,
699,26,122.466922372,1e-05,1736188948.7723897,,,,,,,,
699,27,122.58111164,,1736188948.8865635,0.0,0.16606520116329193,,,,,,
749,28,128.868808628,1e-05,1736188955.1742194,,,,,,,,
749,29,128.983870692,,1736188955.28928,0.0,0.07721292227506638,,,,,,
799,30,135.285231718,1e-05,1736188961.5905805,,,,,,,,
799,31,135.399109722,,1736188961.7045171,0.0,0.4398001432418823,,,,,,
849,32,141.754510959,1e-05,1736188968.0599074,,,,,,,,
849,33,141.868886345,,1736188968.174331,0.0,0.09426046162843704,,,,,,
