trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch
49,0,38.421950581,1e-05,1735780363.7401183,,,,,,
49,1,38.530159842,,1735780363.8484492,0.0,1.9090368747711182,,,,
99,2,44.189062813,1e-05,1735780369.5072691,,,,,,
99,3,44.297141258,,1735780369.6154368,0.0,1.7148206233978271,,,,
149,4,49.954139357,1e-05,1735780375.2723448,,,,,,
149,5,50.061825807,,1735780375.3801796,0.0,1.7083027362823486,,,,
199,6,55.718561023,1e-05,1735780381.0367508,,,,,,
199,7,55.826986539,,1735780381.145295,0.0,1.6581683158874512,,,,
249,8,61.487329241,1e-05,1735780386.805574,,,,,,
249,9,61.595602611,,1735780386.9139361,0.0,1.5164446830749512,,,,
299,10,67.254195333,1e-05,1735780392.572439,,,,,,
299,11,67.362463803,,1735780392.6808162,0.0,1.4274964332580566,,,,
349,12,73.022064126,1e-05,1735780398.3402796,,,,,,
349,13,73.130231506,,1735780398.448574,0.0,1.5191274881362915,,,,
399,14,78.791041759,1e-05,1735780404.109292,,,,,,
399,15,78.899549608,,1735780404.2179315,0.0,1.392730951309204,,,,
449,16,84.565478061,1e-05,1735780409.8837197,,,,,,
449,17,84.673981461,,1735780409.9923294,0.0,1.4653692245483398,,,,
499,18,90.344339372,1e-05,1735780415.662602,,,,,,
499,19,90.452719911,,1735780415.7710671,0.0,1.1781703233718872,,,,
549,20,96.125535825,1e-05,1735780421.443736,,,,,,
549,21,96.234022602,,1735780421.5523338,0.0,1.0827316045761108,,,,
599,22,101.90563435,1e-05,1735780427.22388,,,,,,
599,23,102.014167885,,1735780427.3324912,0.0,1.4474835395812988,,,,
649,24,107.681576222,1e-05,1735780432.999764,,,,,,
649,25,107.78954643,,1735780433.1078863,0.0,1.1615115404129028,,,,
699,26,113.457009262,1e-05,1735780438.7752805,,,,,,
699,27,113.565431147,,1735780438.8837461,0.0,1.5671085119247437,,,,
749,28,119.239630264,1e-05,1735780444.5578911,,,,,,
749,29,119.348113194,,1735780444.666136,0.0,1.083605408668518,,,,
799,30,125.020488764,1e-05,1735780450.338706,,,,,,
799,31,125.129022078,,1735780450.4473705,0.0,1.4724950790405273,,,,
849,32,130.802021902,1e-05,1735780456.120275,,,,,,
849,33,130.910741515,,1735780456.2290926,0.0,1.1618486642837524,,,,
899,34,136.580313955,1e-05,1735780461.8985636,,,,,,
899,35,136.688540483,,1735780462.0068388,0.0,0.9053543210029602,,,,
949,36,142.359310983,1e-05,1735780467.6775615,,,,,,
949,37,142.467605869,,1735780467.785958,0.0,0.9874957799911499,,,,
999,38,148.14760021,1e-05,1735780473.4658365,,,,,,
999,39,148.255974484,,1735780473.574317,0.0,1.1535427570343018,,,,
1049,40,153.93037501,1e-05,1735780479.248578,,,,,,
1049,41,154.03863017,,1735780479.3569756,0.0,0.9125329852104187,,,,
1099,42,159.711555864,1e-05,1735780485.0297513,,,,,,
1099,43,159.819766491,,1735780485.1381192,0.0,0.7997637987136841,,,,
1149,44,165.49303396,1e-05,1735780490.8112788,,,,,,
1149,45,165.602011955,,1735780490.920321,0.0,1.146483063697815,,,,
1199,46,171.286154854,1e-05,1735780496.604411,,,,,,
1199,47,171.394295689,,1735780496.712603,0.0,1.0269476175308228,,,,
1249,48,177.074296714,1e-05,1735780502.3925145,,,,,,
1249,49,177.182785511,,1735780502.5010853,0.0,0.7777803540229797,,,,
1299,50,182.863819088,1e-05,1735780508.1820855,,,,,,
1299,51,182.97234754,,1735780508.2906783,0.0,0.7922104001045227,,,,
1349,52,188.65442547,1e-05,1735780513.9727342,,,,,,
1349,53,188.762980671,,1735780514.0813353,0.0,0.9140785336494446,,,,
1399,54,194.441879594,1e-05,1735780519.7600682,,,,,,
1399,55,194.550617118,,1735780519.8689232,0.0,1.059133529663086,,,,
1449,56,200.223665014,1e-05,1735780525.5419178,,,,,,
1449,57,200.332172756,,1735780525.650489,0.0,0.9057331085205078,,,,
1499,58,206.009887951,1e-05,1735780531.3281338,,,,,,
1499,59,206.118312205,,1735780531.4366605,0.0,0.7123051285743713,,,,
1549,60,211.792185461,1e-05,1735780537.110446,,,,,,
1549,61,211.900839276,,1735780537.2191234,0.0,1.1094532012939453,,,,
1599,62,217.57708688,1e-05,1735780542.895338,,,,,,
1599,63,217.685557642,,1735780543.0038688,0.0,0.7932409048080444,,,,
1649,64,223.370297296,1e-05,1735780548.6885445,,,,,,
